Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
62      0       0       F   0    0     1     0.000000 0.702689 -0.676563 -0.496738 -0.000000 -0.179825 -0.089092
63      0       0       F   0    2     3     0.000000 0.705133 +0.035725 +0.160050 +0.000000 -0.124325 +0.089631
64      0       0       F   0    1     1     0.000000 0.718844 -0.173562 -0.134905 -0.000000 -0.038657 -0.053145
65      0       0       F   0    4     1     0.000000 0.701400 +0.880335 +0.969371 +0.000000 -0.089036 +0.024253
66      0       0       F   0    1     1     0.000000 0.701333 -0.565912 -0.717419 +0.000000 +0.151507 -0.053546
67      0       0       F   0    3     4     0.000000 0.704111 +1.886862 +1.780846 +0.000000 +0.106016 +0.159854
68      0       0       F   0    4     0     0.000000 0.694000 +0.165692 -0.181434 -0.000000 +0.347127 +0.014300
69      0       0       F   0    3     3     0.000000 0.703178 +0.563794 +0.318890 +0.000000 +0.244904 +0.155035
70      0       0       F   0    3     4     0.000000 0.695378 +1.939504 +2.019387 +0.000000 -0.079884 +0.146380
71      0       0       F   0    0     1     0.000000 0.707200 -0.251651 -0.518351 -0.000000 +0.266701 -0.086379
72      0       0       F   0    3     0     0.000000 0.690022 -0.126460 +0.467208 +0.000000 -0.593669 -0.010914
73      0       0       F   0    0     1     0.000000 0.704889 -0.424732 -0.534217 +0.000000 +0.109485 -0.119998
74      0       0       F   0    2     0     0.000000 0.715022 -0.583103 -1.129402 +0.000000 +0.546299 -0.050325
75      0       0       F   0    0     2     0.000000 0.680489 -0.495642 -0.414953 +0.000000 -0.080689 -0.048899
76      0       0       F   0    1     0     0.000000 0.713244 -0.959690 -0.660252 +0.000000 -0.299438 -0.082826
77      0       0       F   0    2     3     0.000000 0.711400 +0.717208 +0.731097 +0.000000 -0.013889 +0.033528
78      0       0       F   0    0     3     0.000000 0.696622 +0.403212 +0.252505 -0.000000 +0.150707 +0.002132
79      0       0       F   0    1     2     0.000000 0.700533 -0.024792 -0.650915 -0.000000 +0.626123 -0.011252
80      0       0       F   0    1     2     0.000000 0.686311 +0.338288 +0.213242 +0.000000 +0.125046 -0.033512
81      0       0       F   0    0     1     0.000000 0.702600 -1.158199 -0.937459 -0.000000 -0.220741 -0.141481
82      0       0       F   0    1     0     0.000000 0.702467 -1.436060 -1.104137 -0.000000 -0.331923 -0.123939
83      0       0       F   0    2     2     0.000000 0.703356 +0.398050 +0.142237 -0.000000 +0.255812 +0.040759
84      0       0       F   0    1     2     0.000000 0.704022 -0.018750 -0.259988 +0.000000 +0.241238 +0.007867
85      0       0       F   0    1     4     0.000000 0.704022 -0.159914 +0.004882 +0.000000 -0.164797 +0.005965
86      0       0       F   0    2     2     0.000000 0.711311 -0.449596 -0.760807 -0.000000 +0.311211 -0.026500
87      0       0       F   0    3     1     0.000000 0.702267 +0.455747 +1.088661 -0.000000 -0.632914 +0.033087
88      0       0       F   0    0     1     0.000000 0.705422 -2.966035 -3.082716 -0.000000 +0.116681 -0.281363
89      0       0       F   0    3     5     0.000000 0.699333 +2.255751 +1.785211 +0.000000 +0.470540 +0.192520
90      0       0       F   0    0     1     0.000000 0.699667 -0.714121 +0.086487 +0.000000 -0.800608 -0.111535
91      0       0       F   0    1     1     0.000000 0.721844 +0.016256 -0.391457 -0.000000 +0.407713 -0.052256
92      0       0       F   0    1     2     0.000000 0.699600 +0.038455 +0.875940 +0.000000 -0.837485 +0.008822
93      0       0       F   0    1     1     0.000000 0.693844 +0.536237 +0.457956 +0.000000 +0.078282 -0.028874
94      0       0       F   0    4     0     0.000000 0.693111 +0.273941 -0.081592 +0.000000 +0.355533 +0.023643
95      0       0       F   0    4     2     0.000000 0.708289 +0.370050 +0.204386 -0.000000 +0.165664 +0.117665
96      0       0       F   0    0     1     0.000000 0.707489 -1.618091 -0.897183 -0.000000 -0.720908 -0.160789
97      0       0       F   0    2     0     0.000000 0.685600 -0.804260 -0.338125 -0.000000 -0.466135 -0.069412
98      0       0       F   0    0     1     0.000000 0.716600 -1.180102 -1.090846 -0.000000 -0.089256 -0.044629
99      0       0       F   0    2     2     0.000000 0.703467 -0.229775 +0.339714 +0.000000 -0.569490 +0.040629
100     0       0       F   0    0     2     0.000000 0.713667 -0.406886 -0.394153 +0.000000 -0.012733 -0.100348
101     0       0       F   0    0     4     0.000000 0.694778 -0.142468 -0.587343 +0.000000 +0.444875 +0.011350
102     0       0       F   0    0     2     0.000000 0.699356 -0.651913 -1.295272 -0.000000 +0.643359 -0.048036
103     0       0       F   0    1     3     0.000000 0.703422 +0.120791 -0.254003 -0.000000 +0.374795 +0.019211
104     0       0       F   0    5     2     0.000000 0.701644 +1.383195 +0.542994 +0.000000 +0.840201 +0.193028
105     0       0       F   0    1     0     0.000000 0.682044 -3.575146 -3.541606 -0.000000 -0.033540 -0.308554
106     0       0       F   0    1     1     0.000000 0.706022 -0.586505 +0.100423 +0.000000 -0.686928 -0.044601
107     0       0       F   0    2     3     0.000000 0.704222 +0.883178 +0.723575 +0.000000 +0.159603 +0.085943
108     0       0       F   0    2     0     0.000000 0.690844 -0.856031 -0.410647 +0.000000 -0.445385 -0.073880
109     0       0       F   0    1     0     0.000000 0.709156 -1.513952 -1.341466 -0.000000 -0.172486 -0.130662
110     0       0       F   0    1     1     0.000000 0.715733 -0.923254 -0.724034 -0.000000 -0.199221 -0.125434
111     0       0       F   0    0     2     0.000000 0.705533 +0.085062 -0.089666 -0.000000 +0.174728 -0.042560
112     0       0       F   0    1     0     0.000000 0.708800 -1.992941 -1.628625 -0.000000 -0.364317 -0.172001
113     0       0       F   0    0     1     0.000000 0.690733 -1.470181 -1.000640 +0.000000 -0.469540 -0.226316
114     0       0       F   0    1     0     0.000000 0.700178 -2.467786 -2.298322 -0.000000 -0.169464 -0.212983
115     0       0       F   0    1     2     0.000000 0.701244 +0.380361 +0.876403 -0.000000 -0.496042 -0.021875
116     0       0       F   0    1     2     0.000000 0.715511 -0.289956 -0.429606 +0.000000 +0.139650 -0.053772
117     0       0       F   0    0     3     0.000000 0.696911 -0.299130 -0.606642 +0.000000 +0.307512 -0.049186
118     0       0       F   0    3     1     0.000000 0.693667 +0.162988 +0.767917 +0.000000 -0.604929 +0.021553
119     0       0       F   0    4     1     0.000000 0.697711 +1.294811 +1.379311 +0.000000 -0.084500 +0.095771
120     0       0       F   0    2     2     0.000000 0.697222 +1.298537 +1.675456 -0.000000 -0.376919 +0.057732
121     0       0       F   0    2     0     0.000000 0.696600 -0.515231 +0.136354 +0.000000 -0.651586 -0.044467
122     0       0       F   0    3     0     0.000000 0.705689 -0.289979 -0.138016 +0.000000 -0.151963 -0.025027
123     0       0       F   0    3     1     0.000000 0.709733 -0.232701 -0.395105 -0.000000 +0.162404 -0.012246
124     0       0       F   0    1     1     0.000000 0.683289 +0.044874 +0.226751 -0.000000 -0.181877 -0.029322
125     0       0       F   0    2     1     0.000000 0.682733 +0.119089 +0.381619 -0.000000 -0.262530 -0.010663
126     0       0       F   0    2     4     0.000000 0.711756 -0.491559 -0.400218 -0.000000 -0.091340 +0.085576
127     0       0       F   0    3     2     0.000000 0.706533 +1.271947 +1.203450 +0.000000 +0.068497 +0.057253
128     0       0       F   0    1     2     0.000000 0.699156 -0.296325 -0.329748 +0.000000 +0.033423 -0.039046
129     0       0       F   0    3     4     0.000000 0.704200 +1.249730 +1.002302 +0.000000 +0.247428 +0.078739
130     0       0       F   0    2     0     0.000000 0.696533 -0.791687 -0.799508 -0.000000 +0.007821 -0.068327
131     0       0       F   0    3     6     0.000000 0.702733 +0.770182 +0.504246 +0.000000 +0.265936 +0.249674
132     0       0       F   0    1     1     0.000000 0.700578 -0.540303 -0.136369 -0.000000 -0.403933 -0.058621
133     0       0       F   0    5     2     0.000000 0.712600 +1.263731 +1.551236 -0.000000 -0.287505 +0.150743
134     0       0       F   0    0     1     0.000000 0.708533 -1.324634 -1.221502 +0.000000 -0.103131 -0.095246
135     0       0       F   0    3     4     0.000000 0.691400 +0.119888 -0.642199 -0.000000 +0.762087 +0.165013
136     0       0       F   0    0     2     0.000000 0.698889 -0.207547 -0.110886 -0.000000 -0.096661 -0.085523
137     0       0       F   0    1     0     0.000000 0.701733 -1.647998 -1.269684 +0.000000 -0.378314 -0.142231
138     0       0       F   0    0     1     0.000000 0.709889 -2.220007 -1.742325 -0.000000 -0.477683 -0.176410
139     0       0       F   0    3     1     0.000000 0.686289 +1.479570 +1.231792 +0.000000 +0.247779 +0.057366
140     0       0       F   0    0     1     0.000000 0.700133 -1.153107 -1.803257 -0.000000 +0.650150 -0.120997
141     0       0       F   0    0     2     0.000000 0.720978 -0.287923 -0.766758 +0.000000 +0.478835 -0.113712
142     0       0       F   0    0     1     0.000000 0.698156 -1.406838 -1.448946 -0.000000 +0.042108 -0.117138
143     0       0       F   0    0     2     0.000000 0.697911 -0.985356 -1.333962 -0.000000 +0.348606 -0.098904
144     0       0       F   0    1     0     0.000000 0.692911 -1.656400 -1.102139 -0.000000 -0.554261 -0.142956
145     0       0       F   0    4     3     0.000000 0.697133 +0.864890 +0.947626 +0.000000 -0.082736 +0.226401
146     0       0       F   0    2     1     0.000000 0.705378 +0.532217 +0.985177 -0.000000 -0.452960 -0.020533
147     0       0       F   0    1     2     0.000000 0.700356 +0.718277 +0.917747 +0.000000 -0.199469 -0.019789
148     0       0       F   0    1     2     0.000000 0.674667 +0.009174 -0.129769 +0.000000 +0.138942 -0.025554
149     0       0       F   0    3     2     0.000000 0.698667 +0.774920 +0.293520 -0.000000 +0.481399 +0.001085
150     0       0       F   0    0     1     0.000000 0.698533 -1.178985 -0.411315 +0.000000 -0.767669 -0.097255
151     0       0       F   0    3     0     0.000000 0.701067 -0.211661 -0.533337 -0.000000 +0.321675 -0.018267
152     0       0       F   0    1     1     0.000000 0.684200 -0.717119 -1.179868 +0.000000 +0.462749 -0.050361
153     0       0       F   0    2     4     0.000000 0.708467 +0.832732 +0.391815 +0.000000 +0.440917 +0.142702
154     0       0       F   0    2     5     0.000000 0.713267 +0.957610 +0.672816 +0.000000 +0.284794 +0.267399
155     0       0       F   0    0     1     0.000000 0.703111 -1.085683 -1.464538 +0.000000 +0.378854 -0.110491
