Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
981     21      484     F   2    0     0     0.000000 0.700311 -1.054571 -1.151772 +0.000000 +0.097201 -0.024485
982     731     211     F   2    0     0     0.000000 0.694667 -0.468718 -0.869455 +0.000000 +0.400737 -0.025650
983     644     308     M   2    0     0     0.000000 0.706022       --- +0.000000 +0.000000 -0.118235 +0.064285
984     800     435     M   2    13    7     0.000000 0.689422       --- +0.000000 +0.000000 +0.073864 +0.092059
985     7       69      M   2    0     0     0.000000 0.693756       --- +0.000000 +0.000000 -0.174885 +0.033957
986     39      518     F   2    0     0     0.000000 0.716800 +0.264627 +0.159783 +0.000000 +0.104844 +0.005025
987     37      59      M   2    5     5     0.000000 0.698178       --- +0.000000 +0.000000 +0.021777 -0.042587
988     672     423     F   2    2     1     0.000000 0.707778 -0.690588 -0.994353 +0.000000 +0.303765 +0.088645
989     589     452     F   2    0     0     0.000000 0.695267 -1.040437 -1.073496 +0.000000 +0.033059 +0.003403
990     592     480     M   2    0     0     0.000000 0.697800       --- +0.000000 +0.000000 +0.720053 +0.056034
991     12      851     F   2    0     0     0.000000 0.697600 +0.660522 +0.673067 +0.000000 -0.012545 +0.288022
992     5       319     F   2    1     2     0.000000 0.698356 -0.484665 -0.528720 +0.000000 +0.044054 +0.080061
993     498     89      F   2    1     3     0.000000 0.685000 -0.536373 -0.381827 +0.000000 -0.154546 +0.085708
994     12      471     F   2    3     5     0.000000 0.690956 +1.325643 +1.132946 +0.000000 +0.192697 +0.356065
995     39      301     F   2    0     0     0.000000 0.706689 +0.105428 -0.052878 +0.000000 +0.158306 -0.066551
996     592     168     M   2    0     0     0.000000 0.702933       --- +0.000000 +0.000000 +0.315245 +0.028070
997     10      450     F   2    0     0     0.000000 0.709933 -0.889862 -0.948816 +0.000000 +0.058954 +0.005555
998     25      202     M   2    0     0     0.000000 0.705644       --- +0.000000 +0.000000 +0.050149 -0.013148
999     592     64      M   2    0     0     0.000000 0.701244       --- +0.000000 +0.000000 +0.154177 -0.002484
1000    890     337     M   2    0     0     0.000000 0.709844       --- +0.000000 +0.000000 -0.108503 +0.043740
1001    25      327     F   2    0     0     0.000000 0.697378 +0.138862 -0.102424 +0.000000 +0.241285 +0.003805
1002    39      214     F   2    0     0     0.000000 0.693022 -0.968646 -1.067626 +0.000000 +0.098979 -0.111899
1003    35      567     M   2    0     0     0.000000 0.712733       --- +0.000000 +0.000000 +0.391425 +0.039392
1004    22      676     M   2    0     0     0.000000 0.715200       --- +0.000000 +0.000000 +0.264953 +0.012860
1005    517     312     M   2    12    8     0.000000 0.692978       --- +0.000000 +0.000000 +0.204298 +0.223638
1006    45      828     F   2    3     2     0.000000 0.712178 +0.835246 +0.650686 +0.000000 +0.184560 +0.136028
1007    35      49      M   2    0     0     0.000000 0.696756       --- +0.000000 +0.000000 +0.500828 +0.019309
1008    907     566     F   2    2     3     0.000000 0.708200 +0.450619 +0.516529 +0.000000 -0.065910 +0.199481
1009    731     310     M   2    0     0     0.000000 0.695244       --- +0.000000 +0.000000 +0.114545 +0.003409
1010    23      93      F   2    0     0     0.000000 0.697756 -1.729354 -2.087166 +0.000000 +0.357812 +0.012238
1011    513     799     F   2    0     0     0.000000 0.709444 -0.128904 -0.337773 +0.000000 +0.208869 -0.010457
1012    512     831     M   2    0     0     0.000000 0.704978       --- +0.000000 +0.000000 +0.278037 +0.065183
1013    17      161     F   2    0     0     0.000000 0.691778 -1.366092 -1.074864 +0.000000 -0.291229 -0.064025
1014    800     190     F   2    4     3     0.000000 0.713267 +1.386870 +1.110413 +0.000000 +0.276457 +0.248903
1015    672     77      F   2    4     1     0.000000 0.694511 +0.832010 +0.659840 +0.000000 +0.172170 +0.175723
1016    800     153     F   2    1     7     0.000000 0.704044 +0.481706 -0.110418 +0.000000 +0.592124 +0.302362
1017    498     288     M   2    0     0     0.000000 0.690756       --- +0.000000 +0.000000 -0.084371 -0.015068
1018    33      108     M   2    0     0     0.000000 0.699356       --- +0.000000 +0.000000 -0.207917 -0.034440
1019    3       123     M   2    0     0     0.000000 0.703400       --- +0.000000 +0.000000 +0.127998 +0.226017
1020    899     511     M   2    0     0     0.000000 0.698822       --- +0.000000 +0.000000 -0.068765 +0.016805
1021    37      286     F   2    0     3     0.000000 0.710356 +0.212543 -0.429323 +0.000000 +0.641866 +0.055106
1022    22      222     F   2    0     0     0.000000 0.684289 +0.204535 -0.037495 +0.000000 +0.242030 +0.010085
1023    27      891     F   2    0     0     0.000000 0.714467 -0.974988 -1.103785 +0.000000 +0.128796 -0.010545
1024    22      197     M   2    0     0     0.000000 0.689889       --- +0.000000 +0.000000 +0.373183 +0.128796
1025    517     497     M   2    2     8     0.000000 0.695133       --- +0.000000 +0.000000 +0.164294 +0.088701
1026    44      314     F   2    0     0     0.000000 0.707133 -0.818036 -0.904595 +0.000000 +0.086559 +0.004872
1027    6       331     F   2    0     0     0.000000 0.718822 -1.640290 -1.249482 +0.000000 -0.390808 -0.197596
1028    32      908     M   2    0     0     0.000000 0.689333       --- +0.000000 +0.000000 +0.235962 +0.197223
1029    498     887     F   2    0     0     0.000000 0.694644 -0.398732 -0.186508 +0.000000 -0.212225 +0.007749
1030    13      174     F   2    0     0     0.000000 0.690378 -1.074022 -1.064277 +0.000000 -0.009745 -0.115006
1031    7       421     F   2    0     0     0.000000 0.710578 -0.965697 -1.109400 +0.000000 +0.143703 -0.112876
1032    12      260     M   2    0     0     0.000000 0.701778       --- +0.000000 +0.000000 +0.118782 +0.244589
1033    510     364     F   2    0     0     0.000000 0.692778 +0.158139 +0.108235 +0.000000 +0.049903 +0.010175
1034    512     456     M   2    0     0     0.000000 0.706200       --- +0.000000 +0.000000 +0.620341 +0.039680
1035    13      251     M   2    0     0     0.000000 0.708533       --- +0.000000 +0.000000 +0.710508 -0.012787
1036    513     326     F   2    0     0     0.000000 0.692511 -0.122030 -0.460312 +0.000000 +0.338282 -0.050430
1037    25      50      F   2    0     0     0.000000 0.704178 +0.299483 -0.349976 +0.000000 +0.649460 +0.134501
1038    894     60      M   2    6     4     0.000000 0.694711       --- +0.000000 +0.000000 -0.630020 +0.061843
1039    512     212     M   2    0     0     0.000000 0.696178       --- +0.000000 +0.000000 +0.195355 -0.006108
1040    644     255     F   2    0     0     0.000000 0.699244 +0.939753 +0.822516 +0.000000 +0.117237 +0.026699
1041    517     571     F   2    0     0     0.000000 0.695867 -0.365695 -0.345096 +0.000000 -0.020599 +0.018115
1042    17      549     M   2    0     0     0.000000 0.697800       --- +0.000000 +0.000000 -0.220562 -0.013329
1043    7       266     M   2    0     0     0.000000 0.699356       --- +0.000000 +0.000000 +0.012720 -0.050262
1044    593     340     M   2    0     0     0.000000 0.691356       --- +0.000000 +0.000000 +0.090262 +0.134553
1045    21      449     M   2    0     0     0.000000 0.704044       --- +0.000000 +0.000000 +0.155309 +0.126761
1046    5       374     M   2    0     0     0.000000 0.696778       --- +0.000000 +0.000000 +0.285717 +0.113779
1047    44      231     F   2    4     1     0.000000 0.697422 +2.085388 +1.906784 +0.000000 +0.178604 +0.203114
1048    39      353     F   2    0     0     0.000000 0.695667 +0.082823 -0.224356 +0.000000 +0.307179 -0.045244
1049    23      404     F   2    3     3     0.000000 0.693267 +0.896821 +0.552408 +0.000000 +0.344412 +0.222766
1050    512     618     M   2    0     0     0.000000 0.692956       --- +0.000000 +0.000000 +0.272780 +0.068279
1051    731     119     M   2    0     0     0.000000 0.698156       --- +0.000000 +0.000000 +0.424728 +0.059977
1052    45      369     M   2    0     0     0.000000 0.693578       --- +0.000000 +0.000000 +1.029775 -0.000915
1053    38      430     F   2    0     0     0.000000 0.697356 -0.188530 -0.108266 +0.000000 -0.080264 -0.032107
1054    644     405     F   2    0     0     0.000000 0.697956 -0.581865 -0.498089 +0.000000 -0.083776 +0.036107
1055    2       413     M   2    0     0     0.000000 0.713556       --- +0.000000 +0.000000 +0.044963 +0.038852
1056    17      199     M   2    0     0     0.000000 0.706556       --- +0.000000 +0.000000 -0.005828 -0.034248
1057    37      182     M   2    6     4     0.000000 0.703600       --- +0.000000 +0.000000 -0.337222 -0.004949
1058    2       209     M   2    0     0     0.000000 0.701200       --- +0.000000 +0.000000 +0.242320 +0.011863
1059    39      163     M   2    0     0     0.000000 0.714444       --- +0.000000 +0.000000 +0.034236 -0.049461
1060    907     311     F   2    1     4     0.000000 0.697133 +0.957354 +0.599559 +0.000000 +0.357795 +0.176078
1061    12      357     F   2    0     0     0.000000 0.696444 +0.364352 +0.137151 +0.000000 +0.227202 +0.219105
1062    37      244     F   2    2     1     0.000000 0.691778 -0.817747 -1.003719 +0.000000 +0.185972 +0.049551
1063    38      230     M   2    0     0     0.000000 0.691000       --- +0.000000 +0.000000 -0.224999 +0.048249
1064    907     712     F   2    2     3     0.000000 0.690044 -0.278986 -0.270041 +0.000000 -0.008945 +0.230968
1065    19      393     M   2    0     0     0.000000 0.700444       --- +0.000000 +0.000000 +0.181896 +0.153895
1066    899     595     F   2    0     3     0.000000 0.705044 +0.685919 +0.788999 +0.000000 -0.103080 +0.060350
1067    731     930     M   2    0     0     0.000000 0.692778       --- +0.000000 +0.000000 +0.258223 +0.164382
1068    512     370     M   2    0     0     0.000000 0.697867       --- +0.000000 +0.000000 -0.204854 +0.035838
1069    644     402     M   2    0     0     0.000000 0.726489       --- +0.000000 +0.000000 -0.219652 +0.017972
1070    672     383     M   2    0     0     0.000000 0.694089       --- +0.000000 +0.000000 +0.118275 +0.100251
1071    10      84      F   2    4     0     0.000000 0.700311 +0.255179 -0.221236 +0.000000 +0.476415 +0.090087
1072    27      198     M   2    0     0     0.000000 0.697511       --- +0.000000 +0.000000 +0.208979 -0.006107
1073    22      710     M   2    0     0     0.000000 0.694178       --- +0.000000 +0.000000 +0.577630 +0.077223
1074    907     463     M   2    0     0     0.000000 0.704444       --- +0.000000 +0.000000 +0.483097 +0.118527
1075    10      145     F   2    2     5     0.000000 0.694133 +1.683589 +1.161364 +0.000000 +0.522224 +0.305122
1076    672     444     M   2    16    14    0.000000 0.684889       --- +0.000000 +0.000000 +0.216054 +0.183355
1077    672     436     F   2    2     2     0.000000 0.687889 -0.094032 +0.015780 +0.000000 -0.109813 +0.086383
1078    672     92      M   2    0     0     0.000000 0.709489       --- +0.000000 +0.000000 -0.487355 +0.099365
1079    44      896     M   2    5     5     0.000000 0.700489       --- +0.000000 +0.000000 +0.188871 +0.169456
1080    13      330     F   2    0     0     0.000000 0.679089 -0.095341 -0.203430 +0.000000 +0.108089 -0.086553
1081    23      637     F   2    2     4     0.000000 0.710111 +0.566746 +0.439927 +0.000000 +0.126818 +0.218014
1082    672     224     M   2    0     0     0.000000 0.704178       --- +0.000000 +0.000000 -0.019509 +0.099734
1083    907     902     F   2    3     1     0.000000 0.701689 +0.106473 +0.492138 +0.000000 -0.385665 +0.123399
1084    644     361     M   2    0     0     0.000000 0.707156       --- +0.000000 +0.000000 -0.112949 -0.025041
1085    894     309     M   2    0     0     0.000000 0.716822       --- +0.000000 +0.000000 +0.534299 +0.172377
1086    33      170     M   2    0     0     0.000000 0.686267       --- +0.000000 +0.000000 -0.568104 +0.004640
1087    498     638     M   2    0     0     0.000000 0.698956       --- +0.000000 +0.000000 -0.266894 +0.007344
1088    510     362     F   2    0     0     0.000000 0.693044 -1.543988 -1.420948 +0.000000 -0.123040 -0.102918
1089    517     354     M   2    0     0     0.000000 0.692956       --- +0.000000 +0.000000 +0.137356 +0.037361
1090    14      388     F   2    3     1     0.000000 0.697067 +1.805711 +1.631961 +0.000000 +0.173750 +0.119569
1091    38      160     M   2    0     0     0.000000 0.684778       --- +0.000000 +0.000000 -0.895493 +0.018965
1092    645     136     F   2    0     0     0.000000 0.710422 -1.315157 -0.840493 +0.000000 -0.474665 -0.099149
1093    589     131     F   2    2     5     0.000000 0.701933 +0.544058 +0.267750 +0.000000 +0.276308 +0.234149
1094    592     396     M   2    0     0     0.000000 0.699978       --- +0.000000 +0.000000 -0.138925 -0.015779
1095    17      475     F   2    0     0     0.000000 0.695800 -1.747914 -1.302215 +0.000000 -0.445699 -0.149931
1096    14      146     F   2    0     0     0.000000 0.701356 -1.592695 -1.599543 +0.000000 +0.006848 -0.052446
1097    2       495     F   2    4     3     0.000000 0.692311 -0.059075 -0.599294 +0.000000 +0.540218 +0.249047
1098    899     252     F   2    0     0     0.000000 0.709044 -1.467958 -1.233103 +0.000000 -0.234855 -0.048332
1099    589     360     F   2    0     0     0.000000 0.714733 -1.519640 -1.843486 +0.000000 +0.323845 +0.007940
1100    731     270     F   2    0     0     0.000000 0.693533 +0.631696 +0.395479 +0.000000 +0.236218 +0.042584
1101    3       83      M   2    0     0     0.000000 0.703000       --- +0.000000 +0.000000 +0.625449 +0.252519
1102    907     126     F   2    3     2     0.000000 0.701800 +0.471135 +0.399085 +0.000000 +0.072049 +0.180374
1103    25      376     F   2    0     0     0.000000 0.710444 -1.167146 -1.166370 +0.000000 -0.000777 -0.148922
1104    25      193     F   2    0     0     0.000000 0.702311 -0.831442 -0.966740 +0.000000 +0.135299 -0.109563
1105    10      183     F   2    0     0     0.000000 0.709311 -0.920833 -1.022804 +0.000000 +0.101971 -0.021061
1106    907     359     F   2    0     0     0.000000 0.709711 -0.259129 -0.176347 +0.000000 -0.082782 +0.033193
1107    501     905     F   2    2     2     0.000000 0.704667 +1.195313 +1.431765 +0.000000 -0.236452 +0.126946
1108    593     863     M   2    0     0     0.000000 0.691356       --- +0.000000 +0.000000 +0.379461 +0.119533
1109    17      216     M   2    0     0     0.000000 0.716511       --- +0.000000 +0.000000 -0.218641 -0.098271
1110    17      85      F   2    0     0     0.000000 0.703067 -0.055224 -0.169549 +0.000000 +0.114325 -0.067085
1111    890     433     F   2    0     0     0.000000 0.692889 -0.973341 -1.072793 +0.000000 +0.099452 -0.054104
1112    3       226     F   2    1     3     0.000000 0.697200 +0.045582 +0.222215 +0.000000 -0.176633 +0.168064
1113    501     233     M   2    0     0     0.000000 0.706600       --- +0.000000 +0.000000 +0.123277 +0.057758
1114    2       377     F   2    0     0     0.000000 0.708822 -0.329352 +0.351590 +0.000000 -0.680942 +0.030601
1115    26      707     F   2    1     2     0.000000 0.676689 +0.896073 +0.578493 +0.000000 +0.317580 +0.082944
1116    24      277     M   2    0     0     0.000000 0.678911       --- +0.000000 +0.000000 +0.268725 +0.136068
1117    513     574     F   2    0     0     0.000000 0.706000 -0.219748 -0.585163 +0.000000 +0.365415 -0.020734
1118    24      418     M   2    0     0     0.000000 0.708733       --- +0.000000 +0.000000 +0.175920 +0.143682
1119    907     400     M   2    0     0     0.000000 0.694156       --- +0.000000 +0.000000 -0.070374 +0.074284
1120    899     424     F   2    0     0     0.000000 0.693089 +0.779991 +0.889915 +0.000000 -0.109924 +0.028740
1121    24      356     F   2    2     3     0.000000 0.685533 +1.098863 +1.114763 +0.000000 -0.015900 +0.155646
1122    14      208     F   2    3     2     0.000000 0.703600 +0.870398 +0.447613 +0.000000 +0.422784 +0.094300
1123    645     281     M   2    0     0     0.000000 0.702622       --- +0.000000 +0.000000 -0.137648 +0.051229
1124    498     305     M   2    0     0     0.000000 0.693600       --- +0.000000 +0.000000 +0.050267 -0.059164
1125    513     466     F   2    0     0     0.000000 0.684444 -0.536715 -0.839336 +0.000000 +0.302621 -0.088284
1126    26      447     M   2    0     0     0.000000 0.702111       --- +0.000000 +0.000000 -0.050932 +0.097419
1127    37      507     M   2    5     5     0.000000 0.698778       --- +0.000000 +0.000000 -0.201813 +0.023022
1128    644     195     M   2    0     0     0.000000 0.686356       --- +0.000000 +0.000000 -0.064321 +0.020581
1129    899     581     M   2    0     0     0.000000 0.706089       --- +0.000000 +0.000000 -0.281841 +0.009605
1130    894     398     F   2    2     4     0.000000 0.707378 +1.642070 +1.679385 +0.000000 -0.037315 +0.153115
1131    510     371     M   2    0     0     0.000000 0.700978       --- +0.000000 +0.000000 -0.583424 -0.014110
1132    501     237     F   2    0     0     0.000000 0.692156 -0.373943 -0.586787 +0.000000 +0.212844 -0.007448
1133    37      154     F   2    4     4     0.000000 0.698356 +2.283313 +1.712977 +0.000000 +0.570336 +0.372279
1134    12      504     M   2    0     0     0.000000 0.683222       --- +0.000000 +0.000000 +0.506878 +0.304011
1135    899     726     F   2    0     0     0.000000 0.708089 +0.113433 +0.466159 +0.000000 -0.352726 +0.046102
1136    589     469     F   2    2     2     0.000000 0.691533 +1.725619 +1.625945 +0.000000 +0.099674 +0.115597
1137    27      585     M   2    0     0     0.000000 0.700422       --- +0.000000 +0.000000 +0.199406 +0.026948
1138    517     242     F   2    1     2     0.000000 0.708556 +0.411844 +0.076845 +0.000000 +0.334998 +0.095763
1139    512     440     F   2    0     1     0.000000 0.692533 +1.264979 +0.857568 +0.000000 +0.407412 +0.037133
1140    498     225     M   2    0     0     0.000000 0.698156       --- +0.000000 +0.000000 -0.224145 -0.059144
1141    13      107     M   2    0     0     0.000000 0.693978       --- +0.000000 +0.000000 +0.092225 -0.024379
1142    32      522     F   2    1     2     0.000000 0.685978 +0.740967 +0.848292 +0.000000 -0.107324 +0.096181
1143    19      913     F   2    2     4     0.000000 0.689356 +0.822470 +0.541806 +0.000000 +0.280663 +0.150372
1144    33      245     F   2    0     0     0.000000 0.690778 -0.096301 -0.346401 +0.000000 +0.250100 +0.011956
1145    25      181     M   2    0     0     0.000000 0.709111       --- +0.000000 +0.000000 +0.340712 -0.014342
1146    33      285     F   2    0     0     0.000000 0.718600 +0.162339 +0.245543 +0.000000 -0.083203 +0.080905
1147    26      75      F   2    0     0     0.000000 0.707911 +0.004713 -0.241201 +0.000000 +0.245914 +0.054041
1148    731     448     M   2    0     0     0.000000 0.697644       --- +0.000000 +0.000000 +0.122573 +0.013964
1149    7       276     M   2    0     0     0.000000 0.692333       --- +0.000000 +0.000000 -0.344334 -0.052896
1150    672     315     M   2    0     0     0.000000 0.702022       --- +0.000000 +0.000000 -0.119039 +0.066799
1151    3       264     M   2    42    38    0.000000 0.709956       --- +0.000000 +0.000000 +0.323831 +0.482017
1152    23      151     M   2    0     0     0.000000 0.695311       --- +0.000000 +0.000000 +0.563872 +0.099795
1153    5       215     M   2    0     0     0.000000 0.678467       --- +0.000000 +0.000000 +0.584522 +0.015161
1154    890     380     F   2    0     0     0.000000 0.711022 -0.245070 -0.602162 +0.000000 +0.357092 -0.003765
1155    6       850     F   2    0     0     0.000000 0.710333 -1.423159 -1.505922 +0.000000 +0.082763 -0.128197
1156    27      470     M   2    0     0     0.000000 0.719756       --- +0.000000 +0.000000 -0.204251 -0.017532
1157    38      390     F   2    3     0     0.000000 0.694956 +0.335912 +0.347140 +0.000000 -0.011228 +0.024178
1158    25      895     F   2    0     0     0.000000 0.715022 +0.017177 -0.334236 +0.000000 +0.351412 +0.039511
1159    13      106     M   2    0     0     0.000000 0.695244       --- +0.000000 +0.000000 -0.407073 -0.089651
1160    39      454     F   2    0     0     0.000000 0.711244 -0.767742 -0.916923 +0.000000 +0.149180 -0.087403
1161    593     684     M   2    0     0     0.000000 0.694111       --- +0.000000 +0.000000 +0.554304 +0.158000
1162    12      130     M   2    0     0     0.000000 0.704556       --- +0.000000 +0.000000 +0.112445 +0.210395
1163    32      334     M   2    0     0     0.000000 0.709533       --- +0.000000 +0.000000 +0.149401 +0.020308
1164    5       67      F   2    3     2     0.000000 0.693800 +0.471687 +0.595146 +0.000000 -0.123459 +0.130640
1165    26      187     F   2    0     0     0.000000 0.686222 +0.173262 -0.151901 +0.000000 +0.325163 +0.059384
1166    644     48      F   2    0     0     0.000000 0.702022 -0.957224 -0.764490 +0.000000 -0.192734 -0.052511
1167    22      458     F   2    0     0     0.000000 0.701000 -1.386856 -2.076187 +0.000000 +0.689330 -0.028346
1168    7       347     M   2    0     0     0.000000 0.707244       --- +0.000000 +0.000000 -0.226237 -0.078494
1169    644     457     M   2    0     0     0.000000 0.708444       --- +0.000000 +0.000000 -0.518869 -0.030672
1170    21      52      F   2    0     0     0.000000 0.711089 -0.424671 -0.245799 +0.000000 -0.178872 +0.063981
1171    800     53      F   2    4     4     0.000000 0.685467 +1.416437 +0.774568 +0.000000 +0.641869 +0.269186
1172    13      100     F   2    0     0     0.000000 0.713200 -0.598495 -1.008211 +0.000000 +0.409716 -0.139216
1173    37      372     F   2    2     1     0.000000 0.689222 +0.141281 -0.034494 +0.000000 +0.175776 +0.047518
1174    517     133     F   2    1     1     0.000000 0.687711 -0.444105 +0.021583 +0.000000 -0.465688 +0.070695
1175    21      128     F   2    0     0     0.000000 0.711000 +0.068592 -0.318468 +0.000000 +0.387060 +0.052045
1176    6       425     M   2    0     0     0.000000 0.692422       --- +0.000000 +0.000000 +0.506441 +0.166561
1177    44      575     F   2    4     0     0.000000 0.692356 +1.332452 +0.924499 +0.000000 +0.407953 +0.146479
1178    44      165     M   2    16    4     0.000000 0.699422       --- +0.000000 +0.000000 +0.229966 +0.264304
1179    593     453     F   2    0     0     0.000000 0.720711 -0.742263 -1.085106 +0.000000 +0.342843 +0.063426
1180    26      121     M   2    0     0     0.000000 0.697222       --- +0.000000 +0.000000 -0.234435 +0.058587
1181    800     401     F   2    1     4     0.000000 0.703422 -0.047625 -0.523260 +0.000000 +0.475635 +0.153256
1182    26      865     M   2    0     0     0.000000 0.686778       --- +0.000000 +0.000000 +0.438499 +0.079400
1183    589     464     M   2    9     11    0.000000 0.701267       --- +0.000000 +0.000000 -0.450606 -0.027053
1184    21      462     M   2    0     0     0.000000 0.705378       --- +0.000000 +0.000000 +0.100951 +0.065154
1185    26      227     M   2    0     0     0.000000 0.710244       --- +0.000000 +0.000000 +0.019698 +0.053305
1186    33      910     M   2    0     0     0.000000 0.703800       --- +0.000000 +0.000000 +0.065852 +0.135015
1187    593     200     M   2    0     0     0.000000 0.698489       --- +0.000000 +0.000000 +0.298076 +0.139116
1188    894     834     F   2    4     2     0.000000 0.698600 +1.763892 +1.350521 +0.000000 +0.413371 +0.212823
1189    501     298     F   2    0     0     0.000000 0.703822 +0.090930 -0.016384 +0.000000 +0.107313 +0.040318
1190    2       868     M   2    0     0     0.000000 0.708733       --- +0.000000 +0.000000 +0.352011 +0.134702
1191    45      78      F   2    0     0     0.000000 0.699489 -0.599257 -0.491598 +0.000000 -0.107658 +0.010175
1192    672     866     F   2    4     1     0.000000 0.700022 +0.631786 +0.765882 +0.000000 -0.134096 +0.159945
1193    513     343     F   2    0     0     0.000000 0.706000 -0.011023 +0.044324 +0.000000 -0.055347 -0.024320
1194    3       363     M   2    17    13    0.000000 0.703800       --- +0.000000 +0.000000 +0.408343 +0.210118
1195    43      477     F   2    0     0     0.000000 0.707511 +0.919024 +0.982344 +0.000000 -0.063320 +0.052796
1196    512     587     F   2    0     0     0.000000 0.699578 -0.051281 -0.202527 +0.000000 +0.151247 +0.097837
1197    498     324     F   2    2     1     0.000000 0.701244 +0.686678 +0.763289 +0.000000 -0.076612 +0.073409
1198    35      439     M   2    0     0     0.000000 0.699156       --- +0.000000 +0.000000 +0.419812 +0.103438
1199    7       56      M   2    0     0     0.000000 0.705311       --- +0.000000 +0.000000 -0.520946 -0.065091
1200    3       169     F   2    5     2     0.000000 0.706200 +1.693026 +1.182402 +0.000000 +0.510624 +0.319213
1201    6       61      F   2    0     0     0.000000 0.716978 -0.478429 -0.705866 +0.000000 +0.227437 -0.103763
1202    39      268     F   2    0     0     0.000000 0.688622 +0.393991 +0.307381 +0.000000 +0.086611 +0.040932
1203    45      87      M   2    0     0     0.000000 0.709867       --- +0.000000 +0.000000 -0.232028 +0.054435
1204    24      157     F   2    0     0     0.000000 0.695022 -0.423615 -0.250121 +0.000000 -0.173494 +0.028368
1205    5       246     M   2    0     0     0.000000 0.696178       --- +0.000000 +0.000000 +0.587372 +0.126581
1206    512     189     F   2    0     0     0.000000 0.704467 -0.347532 -0.275494 +0.000000 -0.072037 -0.034994
1207    44      649     M   2    0     0     0.000000 0.687111       --- +0.000000 +0.000000 +0.020950 +0.056362
1208    19      569     M   2    0     0     0.000000 0.709733       --- +0.000000 +0.000000 -0.130293 +0.074201
1209    26      545     F   2    0     0     0.000000 0.701911 -0.416747 -0.325318 +0.000000 -0.091429 +0.096380
1210    25      339     M   2    0     0     0.000000 0.707089       --- +0.000000 +0.000000 -0.075352 -0.078213
1211    899     675     F   2    4     0     0.000000 0.694311 +0.317189 +0.432242 +0.000000 -0.115054 +0.132451
1212    33      275     F   2    0     0     0.000000 0.692289 +0.026532 +0.072366 +0.000000 -0.045835 +0.045334
1213    510     258     M   2    0     0     0.000000 0.698644       --- +0.000000 +0.000000 +0.410393 +0.007320
1214    645     459     M   2    0     0     0.000000 0.707800       --- +0.000000 +0.000000 -0.531240 +0.014127
1215    38      167     F   2    0     0     0.000000 0.697689 +0.611379 +1.067374 +0.000000 -0.455995 +0.044198
1216    32      213     F   2    0     0     0.000000 0.704333 +0.567888 +0.096900 +0.000000 +0.470987 +0.046112
1217    22      185     F   2    1     2     0.000000 0.691778 +1.882843 +1.523082 +0.000000 +0.359760 +0.086235
1218    510     415     F   2    0     0     0.000000 0.684489 +0.748288 +0.110555 +0.000000 +0.637733 -0.006549
1219    6       889     F   2    0     0     0.000000 0.693156 -0.898376 -0.353032 +0.000000 -0.545344 -0.064597
1220    14      86      F   2    2     2     0.000000 0.705422 +1.431697 +1.154673 +0.000000 +0.277024 +0.075253
1221    26      461     F   2    2     2     0.000000 0.700067 +1.116049 +0.876022 +0.000000 +0.240027 +0.167315
1222    498     203     M   2    0     0     0.000000 0.683667       --- +0.000000 +0.000000 +0.004829 -0.016679
1223    2       256     F   2    3     2     0.000000 0.697933 +1.645466 +0.815491 +0.000000 +0.829975 +0.173449
1224    43      159     F   2    2     4     0.000000 0.702089 +0.995365 +0.693284 +0.000000 +0.302082 +0.240829
1225    17      351     M   2    0     0     0.000000 0.688667       --- +0.000000 +0.000000 +0.178101 +0.077717
1226    43      57      M   2    0     0     0.000000 0.710689       --- +0.000000 +0.000000 -0.072836 +0.039756
1227    593     80      M   2    0     0     0.000000 0.706556       --- +0.000000 +0.000000 +0.361603 +0.111091
1228    32      194     F   2    0     0     0.000000 0.698067 +0.992697 +0.505196 +0.000000 +0.487500 +0.064538
1229    7       485     F   2    0     0     0.000000 0.705022 -1.975631 -1.766463 +0.000000 -0.209168 -0.161700
1230    7       72      M   2    0     0     0.000000 0.692511       --- +0.000000 +0.000000 -0.245710 -0.049018
1231    592     897     F   2    0     0     0.000000 0.709911 -0.681454 -0.499800 +0.000000 -0.181654 +0.025449
1232    45      205     F   2    2     2     0.000000 0.699600 +1.028969 +0.932685 +0.000000 +0.096285 +0.047175
1233    35      802     F   2    0     0     0.000000 0.693200 -1.282861 -1.470460 +0.000000 +0.187599 -0.086624
1234    19      232     M   2    0     0     0.000000 0.710756       --- +0.000000 +0.000000 +0.248072 +0.184733
1235    37      219     F   2    3     2     0.000000 0.689578 +1.965048 +1.823228 +0.000000 +0.141820 +0.130386
1236    592     236     M   2    0     0     0.000000 0.715711       --- +0.000000 +0.000000 -0.196770 +0.023006
1237    2       358     F   2    0     0     0.000000 0.699156 -0.056801 -0.265023 +0.000000 +0.208222 +0.006424
1238    517     474     M   2    0     0     0.000000 0.690489       --- +0.000000 +0.000000 +0.042599 +0.021040
1239    17      492     M   2    0     0     0.000000 0.730689       --- +0.000000 +0.000000 +0.030050 -0.037919
1240    894     117     F   2    2     1     0.000000 0.691089 +0.577843 +0.497166 +0.000000 +0.080678 +0.054694
1241    24      304     F   2    0     0     0.000000 0.707267 -1.331494 -0.674810 +0.000000 -0.656684 +0.015163
1242    498     437     F   2    0     0     0.000000 0.692644 +0.511974 +0.931242 +0.000000 -0.419267 -0.035991
